a0004581,2004581,  4581 Asclepius (1989 FC),4581,Asclepius,20.4, , , , , , , , , , , ,JPL 35,2456400.5,56400,20130418,J2000,0.357076162,1.022207886,0.657201817,4.91636463,180.3365841,255.3023612,168.3465133,1.387213954,0.953663659,2456223.974,20121023.47,377.4915783,1.033515615,0.00359017,1.397186459,5.915,8.74E-08,9.72E-09,9.50E-08,6.23E-06,6.98E-05,6.78E-05,6.21E-06,1.32E-08,1.36E-08,4.31E-06,5.38E-06,APO,Otto Matic,8900,03/31/1989,08/12/2013,135,2,2,0,0.61508
a0004660,2004660,  4660 Nereus (1982 DB),4660,Nereus,18.2, ,0.33, ,0.55,15.1, , ,Xe, , , ,JPL 95,2456400.5,56400,20130418,J2000,0.360001731,1.488664446,0.952742669,1.431869793,314.4652782,157.9874905,71.19488197,2.024586223,0.542636309,2456269.298,20121207.8,663.4277772,1.816366262,0.00325957,1.268526857,4.493,3.12E-09,2.87E-09,4.21E-09,2.63E-06,3.09E-05,3.21E-05,7.01E-06,3.90E-09,1.57E-09,1.25E-05,1.92E-06,APO,Otto Matic,11571,09/30/1981,06/05/2013,541,16,16,0,0.485
a0004769,2004769,  4769 Castalia (1989 PB),4769,Castalia,16.9, ,1.4, , ,4.095, , , , , , ,JPL 60,2456400.5,56400,20130418,J2000,0.483242013,1.063415306,0.549528353,8.886985954,325.6156616,121.3307624,148.3286877,1.577302258,0.898772372,2456235.465,20121103.97,400.5463578,1.096636161,0.0203207,7.908206819,5.675,5.78E-08,2.59E-10,6.15E-08,9.88E-06,1.12E-05,1.22E-05,6.14E-06,3.85E-10,3.29E-10,6.83E-06,1.47E-07,APO,Otto Matic,8773,08/01/1989,08/08/2013,229,8,7,0,0.57041
a0004953,2004953,  4953 (1990 MU),4953, ,14.1, , , , ,14.218, , , , , , ,JPL 42,2456400.5,56400,20130418,J2000,0.657404667,1.621283192,0.555444056,24.39120426,77.75963014,77.71699941,79.75452085,2.687122329,0.477436649,2456233.453,20121101.95,754.02674,2.064412704,0.0267487,10.40979158,3.976,2.01E-07,4.39E-08,3.26E-07,1.82E-05,4.15E-05,4.22E-05,8.76E-05,7.27E-08,1.94E-08,0.00017679,3.06E-05,APO,Otto Matic,14257,07/21/1974,08/02/2013,150,0,2,0,0.75577
a0005011,2005011,  5011 Ptah (6743 P-L),5011,Ptah,17.1, , , , , , , , , , , ,JPL 124,2456400.5,56400,20130418,J2000,0.500052833,1.63568395,0.817755556,7.407151253,10.80300803,105.7036878,355.2312229,2.453612343,0.471145433,2456410.622,20130428.12,764.0952769,2.091978855,0.0249994,9.729016498,4.144,5.49E-08,6.85E-09,8.82E-08,8.81E-06,2.68E-05,2.77E-05,8.12E-06,1.03E-08,2.96E-09,1.73E-05,4.80E-06,APO,Otto Matic,19010,09/24/1960,10/11/2012,547, , ,0,0.57109
a0005189,2005189,  5189 (1990 UQ),5189, ,17.3, , , , , , , , , , , ,JPL 48,2456400.5,56400,20130418,J2000,0.478203789,1.550754876,0.809178018,3.581608589,135.3562464,159.5707191,276.3304533,2.292331734,0.510374939,2456564.437,20130928.94,705.363788,1.931180802,0.0445541,17.3391191,4.312,1.11E-07,1.18E-08,1.72E-07,1.34E-05,0.00012522,0.00012816,6.56E-05,1.75E-08,5.84E-09,0.00013025,8.07E-06,APO,Otto Matic,8183,10/20/1990,03/16/2013,148,0,1,0,0.77098
a0005604,2005604,  5604 (1992 FE),5604, ,16.4, ,0.55, ,0.48,5.3375, , ,V, , , ,JPL 88,2456400.5,56400,20130418,J2000,0.405229398,0.926922115,0.551306024,4.793978551,311.9294061,82.48877657,322.3174068,1.302538206,1.104432576,2456434.619,20130522.12,325.9592372,0.892427754,0.0342769,13.33954117,6.383,5.02E-08,1.94E-09,4.59E-08,3.59E-06,5.75E-05,5.60E-05,1.62E-05,2.72E-09,3.46E-09,1.48E-05,1.02E-06,ATE,Otto Matic,9865,04/17/1985,04/20/2012,334,3,0,0,0.62565
a0005693,2005693,  5693 (1993 EA),5693, ,17, , , , ,2.497, , , , , , ,JPL 151,2456400.5,56400,20130418,J2000,0.585139068,1.271065748,0.52731552,5.055589245,97.10195941,258.819197,194.0063815,2.014815976,0.687783971,2456641.846,20131215.35,523.4201655,1.433046312,0.00559392,2.176985846,4.892,5.81E-08,3.27E-09,7.40E-08,4.74E-06,5.64E-05,5.61E-05,1.71E-05,5.19E-09,2.66E-09,2.54E-05,2.02E-06,APO,Otto Matic,10685,01/10/1984,04/12/2013,805, , ,0,0.56175
a0006037,2006037,  6037 (1988 EG),6037, ,18.7, , , , ,2.76, , , , , , ,JPL 52,2456400.5,56400,20130418,J2000,0.499668225,1.27131128,0.636077429,3.496973685,182.6018168,241.9627066,241.6147143,1.90654513,0.687584731,2456572.676,20131007.18,523.5718363,1.433461564,0.0242224,9.426631408,4.948,5.59E-08,2.16E-09,7.17E-08,6.91E-06,4.87E-05,4.92E-05,7.12E-06,3.25E-09,1.76E-09,1.08E-05,1.34E-06,APO,Otto Matic,9275,03/12/1988,08/03/2013,375,4,4,0,0.67321
a0006239,2006239,  6239 Minos (1989 QF),6239,Minos,17.9, , , , ,3.5558, , , , , , ,JPL 101,2456400.5,56400,20130418,J2000,0.412891516,1.151544208,0.676081374,3.945063626,344.6374616,239.6675779,113.7796599,1.627007042,0.797596337,2456257.847,20121126.35,451.3561348,1.235745749,0.0264167,10.28058714,5.373,1.99E-08,1.93E-09,2.20E-08,2.88E-06,3.18E-05,3.13E-05,7.02E-06,2.72E-09,2.00E-09,8.45E-06,1.13E-06,APO,Otto Matic,10157,01/14/1983,11/05/2010,578,3,0,0,0.52949
a0006489,2006489,  6489 Golevka (1991 JX),6489,Golevka,19.2, ,0.53, ,0.151,6.026, , ,Q, , ,0.03,JPL 93,2456400.5,56400,20130418,J2000,0.609259254,2.495105335,0.97493932,2.271014443,210.5807079,67.22235527,176.4465817,4.015271351,0.25007527,2455694.926,20110513.43,1439.566574,3.941318479,0.0261152,10.16325238,3.183,2.52E-09,2.72E-10,6.22E-09,9.70E-07,2.77E-05,2.79E-05,4.59E-07,4.38E-10,4.09E-11,1.72E-06,2.35E-07,APO,Otto Matic,3149,03/07/1995,10/20/2003,836,14,20,0,0.7445
a0006491,2006491,  6491 (1991 OA),6491, ,18.5, , , , ,2.69, , , , , , ,JPL 21,2456400.5,56400,20130418,J2000,0.590884536,2.507755782,1.02596167,5.853286849,302.4348718,322.6427594,177.8004527,3.989549893,0.248185391,2455684.098,20110502.6,1450.528571,3.971330789,0.0451111,17.55588679,3.189,5.12E-08,4.10E-08,1.29E-07,1.33E-05,7.72E-05,8.13E-05,1.24E-05,6.52E-08,6.08E-09,4.71E-05,3.56E-05,AMO,Otto Matic,7500,03/18/1991,09/29/2011,175, , ,0,0.53155
a0007335,2007335,  7335 (1989 JA),7335, ,17, ,1.8, , ,12, , , , , , ,JPL 39,2456400.5,56400,20130418,J2000,0.484160812,1.770587156,0.913338241,15.21266752,61.431527,232.0582335,32.78700238,2.627836071,0.418338765,2456322.126,20130129.63,860.546596,2.356048175,0.0213794,8.320221098,3.924,8.15E-08,1.39E-08,1.39E-07,1.40E-05,2.66E-05,3.98E-05,5.42E-05,2.06E-08,4.93E-09,0.00012874,1.01E-05,APO,Otto Matic,7710,04/06/1989,05/16/2010,214,0,5,0,0.75876
a0007341,2007341,  7341 (1991 VK),7341, ,16.7, , , , ,4.2096, , ,Sq, , , ,JPL 189,2456400.5,56400,20130418,J2000,0.506643199,1.842074806,0.908800133,5.419600748,294.8726585,173.3393304,181.7670436,2.775349478,0.394224109,2456852.611,20140714.11,913.1861601,2.500167447,0.0480991,18.71872675,3.846,2.63E-09,3.30E-10,4.78E-09,2.19E-06,1.22E-05,1.02E-05,1.15E-06,4.96E-10,1.06E-10,2.89E-06,2.45E-07,APO,Otto Matic,7974,09/12/1991,07/12/2013,952,8,3,0,0.46992
a0007482,2007482,  7482 (1994 PC1),7482, ,16.8, , , , ,2.5999, , ,S, , , ,JPL 81,2456400.5,56400,20130418,J2000,0.328254781,1.346283556,0.904359542,33.48809003,117.9017095,47.60707848,117.9230797,1.788207571,0.630956272,2456213.604,20121013.1,570.5625189,1.562115041,0.000673332,0.262040614,4.666,3.60E-08,2.65E-09,4.73E-08,1.05E-05,2.08E-06,1.11E-05,1.43E-05,3.52E-09,1.86E-09,2.22E-05,1.68E-06,APO,Otto Matic,13462,09/22/1974,08/01/2011,499,2,0,0,0.64085
